,orientation_X,orientation_Y,orientation_Z,orientation_W,angular_velocity_X,angular_velocity_Y,angular_velocity_Z,linear_acceleration_X,linear_acceleration_Y,linear_acceleration_Z
0,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.00244346095279,0.0,0.0,0.0
13,0.0,0.0,0.977856347869,0.209277239403,0.0,0.0,0.0005235987755980001,0.0,0.0,0.0
14,0.0,0.0,0.97787460703,0.20919190454199998,0.0,0.0,0.000872664625997,0.0,0.0,0.0
15,0.0,0.0,0.97787460703,0.20919190454199998,0.0,0.0,0.00174532925199,0.0,0.0,0.0
16,0.0,0.0,0.977892858744,0.20910656808800002,0.0,0.0,0.00977384381117,0.0,0.0,0.0
17,0.0,0.0,0.977892858744,0.20910656808800002,0.0,0.0,0.004014257279590001,0.0,0.0,0.0
18,0.0,0.0,0.97787460703,0.20919190454199998,0.0,0.0,-0.011344640138,0.0,0.0,0.0
19,0.0,0.0,0.97787460703,0.20919190454199998,0.0,0.0,0.00296705972839,0.0,0.0,0.0
20,0.0,0.0,0.97787460703,0.20919190454199998,0.0,0.0,-0.00680678408278,0.0,0.0,0.0
21,0.0,0.0,0.977801525706,0.209533234422,0.0,0.0,-0.0101229096616,0.0,0.0,0.0
22,0.0,0.0,0.9777832367589999,0.209618562904,0.0,0.0,-0.0129154364648,0.0,0.0,0.0
23,0.0,0.0,0.977801525706,0.209533234422,0.0,0.0,0.0157079632679,0.0,0.0,0.0
24,0.0,0.0,0.977801525706,0.209533234422,0.0,0.0,-0.013788101090799998,0.0,0.0,0.0
25,0.0,0.0,0.977563188623,0.210642379992,0.0,0.0,-0.0383972435439,0.0,0.0,0.0
26,0.0,0.0,0.977618301168,0.210386447332,0.0,0.0,0.036826447217099996,0.0,0.0,0.0
27,0.0,0.0,0.977636657127,0.21030113324000002,0.0,0.0,-0.011868238913600001,0.0,0.0,0.0
28,0.0,0.0,0.977599937765,0.210471759821,0.0,0.0,-0.009250245035569999,0.0,0.0,0.0
29,0.0,0.0,0.9774896010070001,0.210983601077,0.0,0.0,-0.00279252680319,0.0,0.0,0.0
30,0.0,0.0,0.9775264097040001,0.21081299374499998,0.0,0.0,0.0204203522483,0.0,0.0,0.0
31,0.0,0.0,0.977471185492,0.211068902334,0.0,0.0,-0.0164060949687,0.0,0.0,0.0
32,0.0,0.0,0.977434332132,0.21123950002300002,0.0,0.0,-0.00174532925199,0.0,0.0,0.0
33,0.0,0.0,0.9773789962639999,0.211495384491,0.0,0.0,-0.0305432619099,0.0,0.0,0.0
34,0.0,0.0,0.97734206847,0.21166596608399998,0.0,0.0,0.0240855436775,0.0,0.0,0.0
35,0.0,0.0,0.977323593409,0.211751254463,0.0,0.0,0.0193731546971,0.0,0.0,0.0
36,0.0,0.0,0.977360536089,0.211580676093,0.0,0.0,0.0127409035396,0.0,0.0,0.0
37,0.0,0.0,0.977434332132,0.21123950002300002,0.0,0.0,0.0274016692563,0.0,0.0,0.0
38,0.0,0.0,0.9772681235680001,0.21200710992199998,0.0,0.0,-0.0237364778271,0.0,0.0,0.0
39,0.0,0.0,0.9772496187369999,0.21209239184700002,0.0,0.0,-0.00645771823238,0.0,0.0,0.0
40,0.0,0.0,0.977119876542,0.212689320059,0.0,0.0,-0.0132645023152,0.0,0.0,0.0
41,0.0,0.0,0.977175524989,0.212433503388,0.0,0.0,0.0267035375555,0.0,0.0,0.0
42,0.0,0.0,0.9771384334659999,0.212604049454,0.0,0.0,-0.00645771823238,0.0,0.0,0.0
43,0.0,0.0,0.9771384334659999,0.212604049454,0.0,0.0,0.00418879020479,0.0,0.0,0.0
44,0.0,0.0,0.977064161123,0.21294512215300002,0.0,0.0,0.0109955742876,0.0,0.0,0.0
45,0.0,0.0,0.977064161123,0.21294512215300002,0.0,0.0,-0.004014257279590001,0.0,0.0,0.0
46,0.0,0.0,0.977156982948,0.21251877723,0.0,0.0,-0.00366519142919,0.0,0.0,0.0
47,0.0,0.0,0.9771940595890001,0.212348227928,0.0,0.0,-0.00296705972839,0.0,0.0,0.0
48,0.0,0.0,0.9771940595890001,0.212348227928,0.0,0.0,-0.004363323129989999,0.0,0.0,0.0
49,0.0,0.0,0.977119876542,0.212689320059,0.0,0.0,0.0183259571459,0.0,0.0,0.0
50,0.0,0.0,0.977119876542,0.212689320059,0.0,0.0,-0.00855211333477,0.0,0.0,0.0
51,0.0,0.0,0.977064161123,0.21294512215300002,0.0,0.0,-0.0125663706144,0.0,0.0,0.0
52,0.0,0.0,0.977008378738,0.213200909652,0.0,0.0,-0.0240855436775,0.0,0.0,0.0
53,0.0,0.0,0.9769152592899999,0.213627189669,0.0,0.0,-0.00977384381117,0.0,0.0,0.0
54,0.0,0.0,0.9768779594329999,0.213797690292,0.0,0.0,-0.0204203522483,0.0,0.0,0.0
55,0.0,0.0,0.976840629818,0.213968184403,0.0,0.0,-0.013962634016,0.0,0.0,0.0
56,0.0,0.0,0.976803270447,0.21413867199499997,0.0,0.0,-0.005759586531579999,0.0,0.0,0.0
57,0.0,0.0,0.976803270447,0.21413867199499997,0.0,0.0,0.0005235987755980001,0.0,0.0,0.0
